cu_id,tenure,cu_size,cu_type,rooms,baths,annual_expenses,inc_rank,race,educ,welfare,ssi,food_stamps,weight,hispanic,rooms_person,married_couple,single_dad,single_mom,college,received_food_stamps,received_welfare,received_ssi,ownes_with_mortgage,ownes_w_out_mortgage,rents,black,white,annual_exp_equiv
0529192,1,2,1,7,2,73040.66626666667,0.8027094,1,16,0,0,0,30739.229333333333,0,3.5,1,0,0,1,0,0,0,1,0,0,0,1,51647.550419543506
0529192,1,2,1,7,2,73040.66626666667,0.839613,1,16,0,0,0,30739.229333333333,0,3.5,1,0,0,1,0,0,0,1,0,0,0,1,51647.550419543506
0529197,2,1,8,6,1,73630.66666666666,0.3985242,1,10,0,0,0,32996.295666666665,0,6,0,0,0,0,0,0,0,0,1,0,0,1,73630.66666666666
0529197,2,1,8,6,1,73630.66666666666,0.3940791,1,10,0,0,0,32996.295666666665,0,6,0,0,0,0,0,0,0,0,1,0,0,1,73630.66666666666
0529197,2,1,8,6,1,73630.66666666666,0.3389186,1,10,0,0,0,32996.295666666665,0,6,0,0,0,0,0,0,0,0,1,0,0,1,73630.66666666666
0529198,4,4,3,5,2,176115.7994,0.8485272,1,15,0,0,0,8098.709000000001,0,1.25,0,0,0,1,0,0,0,0,0,1,0,1,88057.8997
0529198,4,4,3,5,2,176115.7994,0.8399252,1,15,0,0,0,8098.709000000001,0,1.25,0,0,0,1,0,0,0,0,0,1,0,1,88057.8997
0529200,4,1,8,2,1,26659.3998,0.2822379,1,14,0,0,0,23645.28,0,2,0,0,0,0,0,0,0,0,0,1,0,1,26659.3998
0529200,4,1,8,2,1,26659.3998,0.2696031,1,14,0,0,285,23645.28,0,2,0,0,0,0,1,0,0,0,0,1,0,1,26659.3998
0529202,4,3,9,1,1,55336.0004,0.5004445,4,12,16,0,1524,31580.442,0,0.3333333333333333,0,0,0,0,1,1,0,0,0,1,0,0,31948.25472681724
0529203,4,1,8,2,2,94120,0.04616,4,15,0,0,0,15708.698,0,2,0,0,0,1,0,0,0,0,0,1,0,0,94120
0529203,4,1,8,2,2,94120,0.0389632,4,15,0,0,0,15708.698,0,2,0,0,0,1,0,0,0,0,0,1,0,0,94120
0529205,4,3,9,5,1,54928.2,0.6293046,1,16,0,0,0,34719.063,1,1.6666666666666667,0,0,0,1,0,0,0,0,0,1,0,1,31712.811056101604
0529207,2,1,8,9,3,131378.86653333332,0.9648078,1,13,0,0,0,26317.342666666667,0,9,0,0,0,0,0,0,0,0,1,0,0,1,131378.86653333332
0529207,2,1,8,9,3,131378.86653333332,0.9425719,1,13,0,0,0,26317.342666666667,0,9,0,0,0,0,0,0,0,0,1,0,0,1,131378.86653333332
0529207,2,1,8,9,3,131378.86653333332,0.0379749,1,13,0,0,0,26317.342666666667,0,9,0,0,0,0,0,0,0,0,1,0,0,1,131378.86653333332
0529208,2,1,8,6,2,14848,0.2143174,1,11,0,0,0,28855.062,0,6,0,0,0,0,0,0,0,0,1,0,0,1,14848
0529208,2,1,8,6,2,14848,0.2124618,1,11,0,0,0,28855.062,0,6,0,0,0,0,0,0,0,0,1,0,0,1,14848
0529208,2,1,8,6,2,14848,0.2331109,1,11,0,0,0,28855.062,0,6,0,0,0,0,0,0,0,0,1,0,0,1,14848
0529209,2,2,1,6,2,113858.50039999999,0.7178489,1,13,0,0,0,13870.0835,0,3,1,0,0,0,0,0,0,0,1,0,0,1,80510.11772857122
0529209,2,2,1,6,2,113858.50039999999,0.7225262,1,13,0,0,0,13870.0835,0,3,1,0,0,0,0,0,0,0,1,0,0,1,80510.11772857122
0529211,1,3,5,8,2,134717.0109333333,0.8782685,1,16,0,0,0,34483.962,0,2.6666666666666665,0,0,0,1,0,0,0,1,0,0,0,1,77778.90252678175
0529211,1,3,5,8,2,134717.0109333333,0.8698241,1,16,0,0,0,34483.962,0,2.6666666666666665,0,0,0,1,0,0,0,1,0,0,0,1,77778.90252678175
0529211,1,3,5,8,2,134717.0109333333,0.7759897,1,16,0,0,0,34483.962,0,2.6666666666666665,0,0,0,1,0,0,0,1,0,0,0,1,77778.90252678175
0529214,2,7,4,6,1,107041.3718,0.2504983,1,10,0,0,0,81036.90599999999,1,0.8571428571428571,0,0,0,0,0,0,0,0,1,0,0,1,40457.83568257175
0529214,2,7,4,6,1,107041.3718,0.3278244,1,10,0,0,0,81036.90599999999,1,0.8571428571428571,0,0,0,0,0,0,0,0,1,0,0,1,40457.83568257175
0529215,2,4,3,4,2,56306.4,0.7241529,1,14,0,0,0,29973.348,0,1,0,0,0,0,0,0,0,0,1,0,0,1,28153.2
0529216,1,1,8,8,3,113227,0.6909208,6,12,0,0,0,31699.423499999997,0,8,0,0,0,0,0,0,0,1,0,0,0,0,113227
0529216,1,1,8,8,3,113227,0.6883507,6,12,0,0,0,31699.423499999997,0,8,0,0,0,0,0,0,0,1,0,0,0,0,113227
0529218,1,2,1,7,1,25635.00026666667,0.446095,1,13,0,888,3300,23520.525999999998,0,3.5,1,0,0,0,1,0,1,1,0,0,0,1,18126.682524278956
0529218,1,2,1,7,1,25635.00026666667,0.4400132,1,13,0,888,3300,23520.525999999998,0,3.5,1,0,0,0,1,0,1,1,0,0,0,1,18126.682524278956
0529218,1,2,1,7,1,25635.00026666667,0.5071864,1,13,0,0,2088,23520.525999999998,0,3.5,1,0,0,0,1,0,0,1,0,0,0,1,18126.682524278956
0529223,2,4,4,5,2,157072.9432,0.0759099,1,15,0,0,0,26377.919,0,1.25,0,0,0,1,0,0,0,0,1,0,0,1,78536.4716
0529223,2,4,4,5,2,157072.9432,0.0731243,1,15,0,0,0,26377.919,0,1.25,0,0,0,1,0,0,0,0,1,0,0,1,78536.4716
0529225,1,3,5,9,2,120187.66679999998,0.8847681,1,16,0,0,0,23912.263,0,3,0,0,0,1,0,0,0,1,0,0,0,1,69390.38178025304
0529225,1,3,5,9,2,120187.66679999998,0.8764962,1,16,0,0,0,23912.263,0,3,0,0,0,1,0,0,0,1,0,0,0,1,69390.38178025304
0529225,1,3,5,9,2,120187.66679999998,0.8723417,1,16,0,0,0,23912.263,0,3,0,0,0,1,0,0,0,1,0,0,0,1,69390.38178025304
0529227,1,2,1,4,1,62082.38146666666,0.5522794,1,10,0,0,0,16040.802666666666,1,2,1,0,0,0,0,0,0,1,0,0,0,1,43898.87292729003
0529227,1,2,1,4,1,62082.38146666666,0.5457495,1,10,0,0,0,16040.802666666666,1,2,1,0,0,0,0,0,0,1,0,0,0,1,43898.87292729003
0529227,1,2,1,4,1,62082.38146666666,0.4496279,1,10,0,0,0,16040.802666666666,1,2,1,0,0,0,0,0,0,1,0,0,0,1,43898.87292729003
0529229,4,1,8,2,1,23879.333733333333,0.3002761,1,11,0,0,0,27284.149,1,2,0,0,0,0,0,0,0,0,0,1,0,1,23879.333733333333
0529229,4,1,8,2,1,23879.333733333333,0.2978214,1,11,0,0,0,27284.149,1,2,0,0,0,0,0,0,0,0,0,1,0,1,23879.333733333333
0529229,4,1,8,2,1,23879.333733333333,0.2941805,1,11,0,0,0,27284.149,1,2,0,0,0,0,0,0,0,0,0,1,0,1,23879.333733333333
0529230,4,4,7,5,2,80966,0.464039,1,12,0,0,7812,42978.674,0,1.25,0,0,1,0,1,0,0,0,0,1,0,1,40483
0529231,2,2,1,7,3,53436.066666666666,0.0130011,1,15,0,0,0,29907.806,0,3.5,1,0,0,1,0,0,0,0,1,0,0,1,37785.00509993643
0529231,2,2,1,7,3,53436.066666666666,0.0467499,1,15,0,0,0,29907.806,0,3.5,1,0,0,1,0,0,0,0,1,0,0,1,37785.00509993643
0529231,2,2,1,7,3,53436.066666666666,0.0150783,1,15,0,0,0,29907.806,0,3.5,1,0,0,1,0,0,0,0,1,0,0,1,37785.00509993643
0529234,1,3,9,5,2,48221.6008,0.5619277,1,13,0,0,0,47208.795,0,1.6666666666666667,0,0,0,0,0,0,0,1,0,0,0,1,27840.754202634675
0529236,4,2,9,3,1,38202.0004,0.4362524,1,12,0,0,1680,29152.711,0,1.5,0,0,0,0,1,0,0,0,0,1,0,1,27012.893537731197
0529237,4,3,2,4,2,80077.0008,0.7806423,1,15,0,0,0,35868.418,0,1.3333333333333333,0,0,0,1,0,0,0,0,0,1,0,1,46232.47796777788
0529238,1,3,2,7,2,162489.33346666666,0.9535121,1,16,0,0,0,50771.011,0,2.3333333333333335,0,0,0,1,0,0,0,1,0,0,0,1,93813.26041742288
0529238,1,3,2,7,2,162489.33346666666,0.951511,1,16,0,0,0,50771.011,0,2.3333333333333335,0,0,0,1,0,0,0,1,0,0,0,1,93813.26041742288
0529238,1,3,2,7,2,162489.33346666666,0.9198061,1,16,0,0,0,50771.011,0,2.3333333333333335,0,0,0,1,0,0,0,1,0,0,0,1,93813.26041742288
0529243,1,3,5,4,2,67955.66693333333,0.6798268,6,13,0,1000,0,5729.698666666667,1,1.3333333333333333,0,0,0,0,0,0,1,1,0,0,0,0,39234.22259692055
0529243,1,3,5,4,2,67955.66693333333,0.6764204,6,13,0,1000,0,5729.698666666667,1,1.3333333333333333,0,0,0,0,0,0,1,1,0,0,0,0,39234.22259692055
0529243,1,3,5,4,2,67955.66693333333,0.6622809,6,13,0,1000,0,5729.698666666667,1,1.3333333333333333,0,0,0,0,0,0,1,1,0,0,0,0,39234.22259692055
0529244,2,2,1,8,2,72586.93333333332,0.5794651,1,14,0,0,0,40489.447,0,4,1,0,0,0,0,0,0,0,1,0,0,1,51326.712785535834
0529244,2,2,1,8,2,72586.93333333332,0.5757478,1,14,0,0,0,40489.447,0,4,1,0,0,0,0,0,0,0,1,0,0,1,51326.712785535834
0529244,2,2,1,8,2,72586.93333333332,0.5575369,1,14,0,0,0,40489.447,0,4,1,0,0,0,0,0,0,0,1,0,0,1,51326.712785535834
0529245,4,1,8,2,1,8975.733333333334,0.144842,6,11,0,384,6600,5980.225666666666,1,2,0,0,0,0,1,0,1,0,0,1,0,0,8975.733333333334
0529245,4,1,8,2,1,8975.733333333334,0.1403962,6,11,0,384,6600,5980.225666666666,1,2,0,0,0,0,1,0,1,0,0,1,0,0,8975.733333333334
0529245,4,1,8,2,1,8975.733333333334,0.1351602,6,11,0,384,6600,5980.225666666666,1,2,0,0,0,0,1,0,1,0,0,1,0,0,8975.733333333334
0529247,2,2,9,7,4,72822,0.9149895,1,12,0,0,0,14471.44,0,3.5,0,0,0,0,0,0,0,0,1,0,0,1,51492.93001956676
0529247,2,2,9,7,4,72822,0.2229311,1,12,0,0,0,14471.44,0,3.5,0,0,0,0,0,0,0,0,1,0,0,1,51492.93001956676
0529249,2,2,1,10,2,36848,0.4421293,1,12,0,0,0,28570.137499999997,0,5,1,0,0,0,0,0,0,0,1,0,0,1,26055.4706731619
0529249,2,2,1,10,2,36848,0.5673067,1,12,0,0,0,28570.137499999997,0,5,1,0,0,0,0,0,0,0,1,0,0,1,26055.4706731619
0529251,1,4,2,8,3,149556.33359999998,0.8171084,1,15,0,0,0,41023.184,0,2,0,0,0,1,0,0,0,1,0,0,0,1,74778.16679999999
0529251,1,4,2,8,3,149556.33359999998,0.8103442,1,15,0,0,0,41023.184,0,2,0,0,0,1,0,0,0,1,0,0,0,1,74778.16679999999
0529251,1,4,2,8,3,149556.33359999998,0.8087194,1,15,0,0,0,41023.184,0,2,0,0,0,1,0,0,0,1,0,0,0,1,74778.16679999999
0529254,1,2,9,4,1,150850.0004,0.8061902,1,15,0,0,0,38229.778333333335,0,2,0,0,0,1,0,0,0,1,0,0,0,1,106667.0582248334
0529254,1,2,9,4,1,150850.0004,0.7999022,1,15,0,0,0,38229.778333333335,0,2,0,0,0,1,0,0,0,1,0,0,0,1,106667.0582248334
0529254,1,2,9,4,1,150850.0004,0.776883,1,15,0,0,0,38229.778333333335,0,2,0,0,0,1,0,0,0,1,0,0,0,1,106667.0582248334
